day,daily_usdc_volume,daily_usdc_tx_count
2023-01-18 0:00,22282887051,110204
2023-01-19 0:00,16424456880,98326
2023-01-20 0:00,16789603800,90458
2023-01-21 0:00,14525969425,92683
2023-01-22 0:00,13197846997,76545
2023-01-23 0:00,19723666245,80030
2023-01-24 0:00,14202566454,77933
2023-01-25 0:00,15912943933,84946
2023-01-26 0:00,15368866774,90430
2023-01-27 0:00,16409687411,86242
2023-01-28 0:00,4108787096,64289
2023-01-29 0:00,3738808258,64625
2023-01-30 0:00,10111161323,88444
2023-01-31 0:00,9437743336,84895
2023-02-01 0:00,8833208804,103087
2023-02-02 0:00,11358341336,117970
2023-02-03 0:00,21186368493,91383
2023-02-04 0:00,5609971656,84343
2023-02-05 0:00,6213654971,78139
2023-02-06 0:00,8262350649,95587
2023-02-07 0:00,7907961896,115210
2023-02-08 0:00,9631090223,117187
2023-02-09 0:00,11467838926,116192
2023-02-10 0:00,41632594130,127360
2023-02-11 0:00,6439855430,90471
2023-02-12 0:00,5957036836,95761
2023-02-13 0:00,16659706940,112464
2023-02-14 0:00,25312826131,108598
2023-02-15 0:00,14833741821,109849
2023-02-16 0:00,15385592039,115148
2023-02-17 0:00,10738977717,103039
2023-02-18 0:00,8933107554,150673
2023-02-19 0:00,7964774627,76582
2023-02-20 0:00,6680387341,82303
2023-02-21 0:00,2010519150132,92984
2023-02-22 0:00,10412400378,116717
2023-02-23 0:00,11099601022,151623
2023-02-24 0:00,596037052963,77994
2023-02-25 0:00,12634530427,61044
2023-02-26 0:00,6627726865,58098
2023-02-27 0:00,10948480237,77735
2023-02-28 0:00,8510859949,80144
2023-03-01 0:00,10403878498,88342
2023-03-02 0:00,13108093584,84467
2023-03-03 0:00,16294910184,86606
2023-03-04 0:00,6787240658,55400
2023-03-05 0:00,4112353447,52455
2023-03-06 0:00,10029090070,66326
2023-03-07 0:00,11610838286,75179
2023-03-08 0:00,7671848034,71472
2023-03-09 0:00,10577901449,89750
2023-03-10 0:00,33101377395,149919
2023-03-11 0:00,53340729591,321154
2023-03-12 0:00,18969631080,121561
2023-03-13 0:00,31480547630,122863
2023-03-14 0:00,23615261656,95087
2023-03-15 0:00,544929103155,79607
2023-03-16 0:00,16466824053,74642
2023-03-17 0:00,26946075188,77179
2023-03-18 0:00,1.00E+25,70658
2023-03-19 0:00,3069196874257644000,63547
2023-03-20 0:00,8657765226796279000,78451
2023-03-21 0:00,1.00E+25,81896
2023-03-22 0:00,15200180036366420000,90380
2023-03-23 0:00,68452523752258716000,147506
2023-03-24 0:00,12582025022860706000,100205
2023-03-25 0:00,1.00E+25,74014
2023-03-26 0:00,37213601179421110000,86342
2023-03-27 0:00,34341404811554808000,120051
2023-03-28 0:00,20071648409471517000,101812
2023-03-29 0:00,7097634344,77317
2023-03-30 0:00,8782310395,76481
2023-03-31 0:00,9866914971,80740
2023-04-01 0:00,34195738625,63561
2023-04-02 0:00,3618101726,56465
2023-04-03 0:00,8043759063,75284
2023-04-04 0:00,1.00E+25,67216
2023-04-05 0:00,6011993193,66572
2023-04-06 0:00,36123911419,64914
2023-04-07 0:00,26324087372044,63838
2023-04-08 0:00,3267716832,49679
2023-04-09 0:00,4080413557,45794
2023-04-10 0:00,38355132681,63347
