blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
24041512,1766085323,0xf3b1eed7c2a85d35a980ea6456c3bf0803ae6764f4e5338369c2289142ab97a8,79,0x9b476321d7c4ba8ebfaa74b82e7a79c5259582a75e3421f2f625d18f3de4d7fd,0xb93b88b07eae72422b1e66d67a29d08bc2876400,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xca71d5e783382db95a0b58197e4a7269c098306d,95000000,USDC,USDC,6,25,50094,115895734,45160,1207893,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",214980
24041512,1766085323,0x75ae4cc135b6a4fb32ff42f7e1ccc71b1649e943957eeb63beb0c7a3548fbe0b,110057,0x9b476321d7c4ba8ebfaa74b82e7a79c5259582a75e3421f2f625d18f3de4d7fd,0xfa98f6c72c842f8778e01037c9842aa0b6b70c0a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3a61da6d37493e2f248a6832f49b52af0a6f4fbb,638781773539,USDC,USDC,6,27,189011,53956336,81568,1324409,deprecated,0x2da03409,"flushForwarderTokens(address forwarderAddress, address tokenContractAddress)",214980
24041512,1766085323,0xa0263089457412d32fcd0ee71360390df15021b3923ba6778d1f359e667a35db,0,0x9b476321d7c4ba8ebfaa74b82e7a79c5259582a75e3421f2f625d18f3de4d7fd,0x25e73c6b972caf29fab8bde8ea38f08928c6edcb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x8e5a6e6fb4926284774a437241769f9b30c2f743,11724703951,USDC,USDC,6,41,90000,46895734,57472,1935628,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",214980
24041512,1766085323,0x73ad3821c2830935f55769003702455857f8215c0f95d605082309d2f024f32a,17808,0x9b476321d7c4ba8ebfaa74b82e7a79c5259582a75e3421f2f625d18f3de4d7fd,0x409cfdeb84263a0dd9c8472447dc8c0b55f33e6e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x730c8fa63c6d515ef17813a371b4f785ae834bfb,296816675,USDC,USDC,6,54,84000,40472118,62260,3176977,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",214980
24041512,1766085323,0xcedb12623c069c4cfdf9d59d2f98f9bb45171f7fa3c7ab53f2ca6a051f4dcc2d,699266,0x9b476321d7c4ba8ebfaa74b82e7a79c5259582a75e3421f2f625d18f3de4d7fd,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x79c9819092a67718e85537d67e3f7dbeb5b4f987,468101294,USDC,USDC,6,58,84000,40472118,62260,3302295,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",214980
24041513,1766085335,0xc7b87a70240562976927512d3c0f3dd4542eee7f6c9ff96e36925911b478867c,1650,0x62546f14a6fbb3eba28ee65aaa88389bb85ea1e4b4794a422081ab154e944b00,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x282886d79c7495df43ad3d734b636644a0a3f320,1630955255,USDC,USDC,6,4,3600000,992801754,292841,694808,deprecated,0x88000000,,214979
24041513,1766085335,0xc7b87a70240562976927512d3c0f3dd4542eee7f6c9ff96e36925911b478867c,1650,0x62546f14a6fbb3eba28ee65aaa88389bb85ea1e4b4794a422081ab154e944b00,0x282886d79c7495df43ad3d734b636644a0a3f320,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc0dfdb9e7a392c3dbbe7c6fbe8fbc1789c9fe05e,1630955255,USDC,USDC,6,4,3600000,992801754,292841,694808,deprecated,0x88000000,,214979
24041513,1766085335,0xc7b87a70240562976927512d3c0f3dd4542eee7f6c9ff96e36925911b478867c,1650,0x62546f14a6fbb3eba28ee65aaa88389bb85ea1e4b4794a422081ab154e944b00,0xc0dfdb9e7a392c3dbbe7c6fbe8fbc1789c9fe05e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,8114205,USDC,USDC,6,4,3600000,992801754,292841,694808,deprecated,0x88000000,,214979
24041513,1766085335,0xc7b87a70240562976927512d3c0f3dd4542eee7f6c9ff96e36925911b478867c,1650,0x62546f14a6fbb3eba28ee65aaa88389bb85ea1e4b4794a422081ab154e944b00,0xc0dfdb9e7a392c3dbbe7c6fbe8fbc1789c9fe05e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0cdc73d78f2c7e8c2177ed3f1d2bf029ae80090f,1622841050,USDC,USDC,6,4,3600000,992801754,292841,694808,deprecated,0x88000000,,214979
24041513,1766085335,0x06f653a868d54d6623d13a06429f4ac4834c190ada01382200bdaae3c610ea42,125715,0x62546f14a6fbb3eba28ee65aaa88389bb85ea1e4b4794a422081ab154e944b00,0x6d18e1a7faeb1f0467a77c0d293872ab685426dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x06cff7088619c7178f5e14f0b119458d08d2f5ef,338586874,USDC,USDC,6,5,1434544,32801754,711797,1406605,deprecated,0x99999999,,214979
